Course ID,Level,Course Name,Credit Hours,Section Letters,CRNs,Days Met,Locations,Professors,Course Description,Full Text
AE 2221,Undergraduate,3D Dynamics,1,A;B,87546;87547,TR;MWF,College of Computing 101;Skiles 249,Mayuresh Patil (P);Chhavi . (P),Kinematics and kinetics of rigid bodies in three-dimensional motion.,AE 2221 3D Dynamics Kinematics and kinetics of rigid bodies in three-dimensional motion.
AE 2221R,Undergraduate,AE 2221 Recitation,0,A;B,88341;89984,T;M,Guggenheim Aerospace 442;Guggenheim Aerospace 442,Mayuresh Patil (P);Chhavi . (P),This recitation is an optional session in support of AE 2221. This course is designed to allow students the chance to apply their knowledge of concepts through problem solving and group discussions.,AE 2221R AE 2221 Recitation This recitation is an optional session in support of AE 2221. This course is designed to allow students the chance to apply their knowledge of concepts through problem solving and group discussions.
AE 2355,Undergraduate,Aerospace Systems Design Competition II,3,A;A01,88528;81947,T;TR,Guggenheim Aerospace 244;Guggenheim Aerospace 244,Dimitrios Mavris (P);Dimitrios Mavris (P),"Team-oriented aerospace systems design project directed by a faculty advisor. Typically a national student competition in aircraft, rotorcraft, or spacecraft design.  Technical role commensurate with sophomore standing.","AE 2355 Aerospace Systems Design Competition II Team-oriented aerospace systems design project directed by a faculty advisor. Typically a national student competition in aircraft, rotorcraft, or spacecraft design.  Technical role commensurate with sophomore standing."
AE 2610,Undergraduate,Introduction to Experimental Methods in Aerospace,1,A;A01;A02;A03;A04;A05;A06;A07;A08;A09;A10;A11;A12,88354;85058;85059;85060;85061;85062;90217;90218;90219;90220;90221;91121;91122,W;M;T;W;R;F;M;T;W;R;F;R;F,Boggs B5;Engineering Sci and Mechanics G4;Engineering Sci and Mechanics G4;Engineering Sci and Mechanics G4;Engineering Sci and Mechanics G4;Engineering Sci and Mechanics G4;Engineering Sci and Mechanics G4;Engineering Sci and Mechanics G4;Engineering Sci and Mechanics G4;Engineering Sci and Mechanics G4;Engineering Sci and Mechanics G4;Engineering Sci and Mechanics G4;Engineering Sci and Mechanics G4,Adam Steinberg;Adam Steinberg;Adam Steinberg;Adam Steinberg;Adam Steinberg;Adam Steinberg;Adam Steinberg;Adam Steinberg;Adam Steinberg;Adam Steinberg;Adam Steinberg;Adam Steinberg;Adam Steinberg,"Introduction to laboratory instrumentation and measurement techniques used in aerospace. Basic application of sensor principles, uncertainty analysis, interpretation and analysis of experimental data, and documentation.","AE 2610 Introduction to Experimental Methods in Aerospace Introduction to laboratory instrumentation and measurement techniques used in aerospace. Basic application of sensor principles, uncertainty analysis, interpretation and analysis of experimental data, and documentation."
AE 2611,Undergraduate,Technical Communications for Aerospace Engineers,1,A,85073,F,Boggs B5,Kelly Griendling (P),"Development of technical communication skills required by aerospace engineers. Includes written, oral and visual communication methods.","AE 2611 Technical Communications for Aerospace Engineers Development of technical communication skills required by aerospace engineers. Includes written, oral and visual communication methods."
AE 2698,Undergraduate,Undergraduate Research Assistantship,1,ATH;CHE;CHR;DEC;DIL;GRI;HO;JAG;JAM;LIE;MAV;MEN;OEF;QIA;RIS;ROG;ROM;SES;SMI;STE;TSK;VAM;WAL,93408;87644;88098;88035;86274;88022;88016;82784;93410;84096;82474;88110;86968;93412;91119;87645;92189;93413;84044;86995;93414;87174;82768,;;;;;;;;;;;;;;;;;;;;;;,TBA;TBA;TBA;TBA;TBA;TBA;TBA;TBA;TBA;TBA;TBA;TBA;TBA;TBA;TBA;TBA;TBA;TBA;TBA;TBA;TBA;TBA;TBA,Christos Athanasiou (P);Yongxin Chen (P);John Christian (P);John Dec (P);Claudio Di Leo (P);Kelly Griendling (P);Koki Ho (P);Jechiel Jagoda (P);Kai James (P);Tim Lieuwen (P);Dimitrios Mavris (P);Suresh Menon (P);Joseph Oefelein (P);Elizabeth Qian (P);Cristina Riso (P);Jonathan Rogers (P);Alvaro Romero Calvo (P);Pranay Seshadri (P);Marilyn Smith (P);Adam Steinberg (P);Sedina Tsikata (P);Kyriakos Vamvoudakis (P);Mitchell Walker (P),Independent research conducted under the guidance of a faculty member.,AE 2698 Undergraduate Research Assistantship Independent research conducted under the guidance of a faculty member.
AE 2699,Undergraduate,Undergraduate Research,1,AHU;ATH;CHE;CHR;COS;DEC;DIL;FEI;GER;GRI;GUN;HO;JAM;LIE;LIG;MAV;MEN;OEF;QIA;R;RIS;ROG;ROM;RUF;SAN;SEI;SES;SMI;STE;THE;TSI;TSK;VAM;WAL;YAN,86646;93415;87646;83005;82641;88034;86273;85019;87335;88023;86103;88017;93417;83017;86102;82475;87333;86969;93418;86792;91118;87647;92188;82427;82770;83146;93420;85013;86996;84876;84755;93422;87175;82321;84339,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;,TBA;TBA;TBA;TBA;TBA;TBA;TBA;TBA;TBA;TBA;TBA;TBA;TBA;TBA;TBA;TBA;TBA;TBA;TBA;TBA;TBA;TBA;TBA;TBA;TBA;TBA;TBA;TBA;TBA;TBA;TBA;TBA;TBA;TBA;TBA,Krishan Ahuja (P);Christos Athanasiou (P);Yongxin Chen (P);John Christian (P);Mark Costello (P);John Dec (P);Claudio Di Leo (P);Karen Feigh (P);Brian German (P);Kelly Griendling (P);Brian Gunter (P);Koki Ho (P);Kai James (P);Tim Lieuwen (P);Edgar Lightsey (P);Dimitrios Mavris (P);Suresh Menon (P);Joseph Oefelein (P);Elizabeth Qian (P);Mackenzie Lau (P);Cristina Riso (P);Jonathan Rogers (P);Alvaro Romero Calvo (P);;Narayanamoorthy Sankar (P);Jerry Seitzman (P);Pranay Seshadri (P);Marilyn Smith (P);Adam Steinberg (P);Evangelos Theodorou (P);Panagiotis Tsiotras (P);Sedina Tsikata (P);Kyriakos Vamvoudakis (P);Mitchell Walker (P);Vigor Yang (P),Independent research conducted under the guidance of a faculty member.,AE 2699 Undergraduate Research Independent research conducted under the guidance of a faculty member.
AE 3030,Undergraduate,Aerodynamics,4,A;B,85650;85651,WF;TR,Van Leer C341;Guggenheim Aerospace 442,Aishwerya Singh Gahlot (P);Nikhil Iyengar (P),"Aerodynamics of airfoils and wings in subsonic, transonic and supersonic flight. Laminar and turbulent boundary layers and effects of viscosity on aerodynamic performance.","AE 3030 Aerodynamics Aerodynamics of airfoils and wings in subsonic, transonic and supersonic flight. Laminar and turbulent boundary layers and effects of viscosity on aerodynamic performance."
AE 3030R,Undergraduate,Aerodynamics Recitation,0,A;B,90215;90216,W;T,Guggenheim Aerospace 442;Guggenheim Aerospace 442,Aishwerya Singh Gahlot (P);Nikhil Iyengar (P),Recitation course for AE 3030.,AE 3030R Aerodynamics Recitation Recitation course for AE 3030.
AE 3140,Undergraduate,Structural  Analysis,3,A,85652,MWF,J. Erskine Love Manufacturing 185,Kai James (P),"Application to structural analysis. Basic equations of elasticity. Bending, shearing and torsion of thin walled structures. Energy methods for structural analysis and application to finite element theory for trusses and beam structures. Students cannot receive credit for both AE 3140 and AE 3125.","AE 3140 Structural  Analysis Application to structural analysis. Basic equations of elasticity. Bending, shearing and torsion of thin walled structures. Energy methods for structural analysis and application to finite element theory for trusses and beam structures. Students cannot receive credit for both AE 3140 and AE 3125."
AE 3330,Undergraduate,Introduction to Aerospace Vehicle Performance,3,A;B,85660;85653,MW;TR,Guggenheim Aerospace 442;Klaus Advanced Computing 2456,John Dec (P);Brian German (P),"Orbital mechanics, orbit determination, and spacecraft maneuvers. Basics of airplane flight including climb, cruise, takeoff, and landing. Actuator disk theory and elements of rotorcraft performance.","AE 3330 Introduction to Aerospace Vehicle Performance Orbital mechanics, orbit determination, and spacecraft maneuvers. Basics of airplane flight including climb, cruise, takeoff, and landing. Actuator disk theory and elements of rotorcraft performance."
AE 3355,Undergraduate,Aerospace Systems Design Competition III,3,A;A01,88540;81948,T;TR,Guggenheim Aerospace 244;Guggenheim Aerospace 244,Dimitrios Mavris (P);Dimitrios Mavris (P),"Team-oriented aerospace systems design project directed by a faculty advisor. Typically a national student competition in aircraft, rotorcraft, or spacecraft design.  Technical or leadership role commensurate with junior standing.","AE 3355 Aerospace Systems Design Competition III Team-oriented aerospace systems design project directed by a faculty advisor. Typically a national student competition in aircraft, rotorcraft, or spacecraft design.  Technical or leadership role commensurate with junior standing."
AE 3530,Undergraduate,System Dynamics and Vibration,3,A;B,85655;92925,TR;MWF,Guggenheim Aerospace 442;Mason 1133,J Prasad (P);Yongxin Chen (P),"Modeling and analysis of lumped- and distributed-parameter systems, free and forced vibration in mechanical systems, free vibration in structural systems. Students cannot receive credit for both AE 3530 and ME 3017 or AE 3530 and AE 3515.","AE 3530 System Dynamics and Vibration Modeling and analysis of lumped- and distributed-parameter systems, free and forced vibration in mechanical systems, free vibration in structural systems. Students cannot receive credit for both AE 3530 and ME 3017 or AE 3530 and AE 3515."
AE 3531,Undergraduate,Control System Analysis and Design,3,A;B,86155;89171,WF;TR,College of Computing 17;College of Computing 17,Kelly Griendling (P);Fengjiao Liu (P),"Control system performance analysis and specifications, classical methods of control system analysis and design, introduction to modern control methods. Students cannot receive credit for AE 3531 and AE 3515 or AE 3531 and ME 4452.","AE 3531 Control System Analysis and Design Control system performance analysis and specifications, classical methods of control system analysis and design, introduction to modern control methods. Students cannot receive credit for AE 3531 and AE 3515 or AE 3531 and ME 4452."
AE 3610,Undergraduate,Experiments in Fluid and Solid Mechanics,2,A;A01;A02;A03;A04;A05;A06;A07;A08;A09;A10;A12;A13;A14;A15;A16;A17;A18;A19,88357;88360;88379;88380;88382;88383;88384;88385;88387;88389;88390;90191;90192;90193;90194;90195;90196;90197;91123,M;T;W;R;F;M;T;R;T;W;R;W;R;F;W;F;M;F;T,Boggs B5;Engineering Sci and Mechanics G2;Engineering Sci and Mechanics G2;Engineering Sci and Mechanics G2;Engineering Sci and Mechanics G2;Engineering Sci and Mechanics G2;Engineering Sci and Mechanics G2;Engineering Sci and Mechanics G2;Engineering Sci and Mechanics G2;Engineering Sci and Mechanics G2;Engineering Sci and Mechanics G2;Engineering Sci and Mechanics G2;Engineering Sci and Mechanics G2;Engineering Sci and Mechanics G2;Engineering Sci and Mechanics G2;Engineering Sci and Mechanics G2;Engineering Sci and Mechanics G2;Engineering Sci and Mechanics G2;Engineering Sci and Mechanics G2,Adam Steinberg;Adam Steinberg;Adam Steinberg;Adam Steinberg;Adam Steinberg;Adam Steinberg;Adam Steinberg;Adam Steinberg;Adam Steinberg;Adam Steinberg;Adam Steinberg;Adam Steinberg;Adam Steinberg;Adam Steinberg;Adam Steinberg;Adam Steinberg;Adam Steinberg;Adam Steinberg;Adam Steinberg,"Experimental laboratory in solid and fluid mechanics, aerodynamics, propulsion. Emphasis on measurement techniques, analysis and interpretation of data, comparison to analytical predictions, and reporting.","AE 3610 Experiments in Fluid and Solid Mechanics Experimental laboratory in solid and fluid mechanics, aerodynamics, propulsion. Emphasis on measurement techniques, analysis and interpretation of data, comparison to analytical predictions, and reporting."
AE 4040,Undergraduate,Computational Fluid Dynamics,3,A,87525,MWF,Skiles 249,Joseph Oefelein (P),"Discretization of PDEs, stability and accuracy considerations, iterative and time/space marching schemes, aerospace applications.","AE 4040 Computational Fluid Dynamics Discretization of PDEs, stability and accuracy considerations, iterative and time/space marching schemes, aerospace applications."
AE 4071,Undergraduate,Rotorcraft Aeromechanics,3,A,89086,TR,Clough UG Learning Commons 423,Marilyn Smith,"Basic rotor aerodynamics and dynamics, helicopter performance and trim, introduction to helicopter stability, control and vibration.","AE 4071 Rotorcraft Aeromechanics Basic rotor aerodynamics and dynamics, helicopter performance and trim, introduction to helicopter stability, control and vibration."
AE 4080,Undergraduate,Aerothermodynamics,3,A,91334,MWF,J. Erskine Love Manufacturing 185,John Dec (P),"Convective heat transfer and viscous drag in high- temperature and high-speed flowfields. Inviscid hypersonic theory, real gas effects, and wall thermal protection strategies.","AE 4080 Aerothermodynamics Convective heat transfer and viscous drag in high- temperature and high-speed flowfields. Inviscid hypersonic theory, real gas effects, and wall thermal protection strategies."
AE 4311,Undergraduate,Aircraft Design I: Conceptual Design,3,A;A01;IP;IP1,93135;93136;93137;93138,MW;M;MW;M,TBA;Guggenheim Aerospace 442;Guggenheim Aerospace 442;Guggenheim Aerospace 442,Neil Weston (P);Neil Weston (P);Neil Weston (P);Neil Weston (P),Conceptual design and synthesis of fixed wing aircraft.,AE 4311 Aircraft Design I: Conceptual Design Conceptual design and synthesis of fixed wing aircraft.
AE 4321,Undergraduate,Space System Design I: Conceptual Design,3,A;A01;IP;IP1,93139;93140;93141;93142,TR;T;TR;T,Guggenheim Aerospace 442;Weber SST III 2;Guggenheim Aerospace 442;Weber SST III 2,Alvaro Romero Calvo (P);Alvaro Romero Calvo (P);Alvaro Romero Calvo (P);Alvaro Romero Calvo (P),Conceptual design and synthesis of space systems. Students apply mission and spacecraft design principles.,AE 4321 Space System Design I: Conceptual Design Conceptual design and synthesis of space systems. Students apply mission and spacecraft design principles.
AE 4331,Undergraduate,Rotorcraft Design I: Conceptual Design,3,A;A01;IP;IP1,93143;93144;93145;93147,TR;W;TR;W,Guggenheim Aerospace 246;Clough UG Learning Commons 123;Guggenheim Aerospace 246;Clough UG Learning Commons 123,Chance McColl (P);Chance McColl (P);Chance McColl (P);Chance McColl (P),"Conceptual design of traditional, urban air mobility, unmanned rotorcraft vehicles.","AE 4331 Rotorcraft Design I: Conceptual Design Conceptual design of traditional, urban air mobility, unmanned rotorcraft vehicles."
AE 4355,Undergraduate,Aerospace Systems Design Competition IV,3,A;A01,88541;81949,T;TR,Guggenheim Aerospace 244;Guggenheim Aerospace 244,Dimitrios Mavris (P);Dimitrios Mavris (P),"Team-oriented aerospace systems design project directed by a faculty advisor.  Typically a national student competition in aircraft, rotorcraft, or spacecraft design. Technical or leadership role commensurate with senior standing.","AE 4355 Aerospace Systems Design Competition IV Team-oriented aerospace systems design project directed by a faculty advisor.  Typically a national student competition in aircraft, rotorcraft, or spacecraft design. Technical or leadership role commensurate with senior standing."
AE 4451,Undergraduate,Jet and Rocket Propulsion,3,A;B,80006;81777,TR;MWF,Guggenheim Aerospace 442;Guggenheim Aerospace 442,Vigor Yang (P);Sedina Tsikata (P),Principles of aerospace propulsion systems. Thermodynamic cycles. Thermodynamics of combustion. Turbine engine and rocket performance characteristics. Cycle/component analysis of engines and turbomachinery.,AE 4451 Jet and Rocket Propulsion Principles of aerospace propulsion systems. Thermodynamic cycles. Thermodynamics of combustion. Turbine engine and rocket performance characteristics. Cycle/component analysis of engines and turbomachinery.
AE 4453,Undergraduate,Advanced Aircraft Propulsion,3,A,92927,TR,Guggenheim Aerospace 244,Shawn Wehe (P),"Analysis, preliminary design of turbomachinery and combustors for aircraft; engine design, off-design performance. Introduction to advanced architectures: including scramjets, pressure gain combustion, electric propulsion.","AE 4453 Advanced Aircraft Propulsion Analysis, preliminary design of turbomachinery and combustors for aircraft; engine design, off-design performance. Introduction to advanced architectures: including scramjets, pressure gain combustion, electric propulsion."
AE 4531,Undergraduate,Aircraft Flight Dynamics,3,A,86158,TR,Mason 5134,Chance McColl (P),"Three-dimensional rigid body dynamics, aircraft equations of motion, static and dynamic stability, flight control design, introduction to aeroelastic phenomena. Students cannot receive credit for both AE 4531 and AE 3521.","AE 4531 Aircraft Flight Dynamics Three-dimensional rigid body dynamics, aircraft equations of motion, static and dynamic stability, flight control design, introduction to aeroelastic phenomena. Students cannot receive credit for both AE 4531 and AE 3521."
AE 4532,Undergraduate,Spacecraft Flight Dynamics,3,A,86159,MWF,Mason 1133,Edgar Lightsey (P),"Cover fundamental material in orbit and attitude dynamics. Investigate orbits, rendezvous/intercept maneuvers, interplanetary transfers, attitude coordinates, attitude stability, attitude control, and attitude estimation. Students cannot receive credit for both AE 4532 and AE 4310.","AE 4532 Spacecraft Flight Dynamics Cover fundamental material in orbit and attitude dynamics. Investigate orbits, rendezvous/intercept maneuvers, interplanetary transfers, attitude coordinates, attitude stability, attitude control, and attitude estimation. Students cannot receive credit for both AE 4532 and AE 4310."
AE 4580,Undergraduate,Introduction to Avionics Integration,3,A,93602,TR,Howey Physics L2,Jonathan Rogers (P),"Avionics in modern aerospace vehicle systems, including impact on design and performance. Specific case-studies; covers: navigation, GPS, stability augmentation, radar, health monitoring, databases, human factors, and software.","AE 4580 Introduction to Avionics Integration Avionics in modern aerospace vehicle systems, including impact on design and performance. Specific case-studies; covers: navigation, GPS, stability augmentation, radar, health monitoring, databases, human factors, and software."
AE 4610,Undergraduate,Dynamics and Control Laboratory,2,A;A01;A02;A03;A04;A05;A06,88391;88392;88393;88394;88395;88396;88397,F;M;T;W;R;F;T,Weber SST III 1;Engineering Sci and Mechanics G1;Engineering Sci and Mechanics G1;Engineering Sci and Mechanics G1;Engineering Sci and Mechanics G1;Engineering Sci and Mechanics G1;Engineering Sci and Mechanics G1,J Prasad (P);J Prasad (P);J Prasad (P);J Prasad (P);J Prasad (P);J Prasad (P);J Prasad (P),Experiments in dynamics and control related to aerospace engineering topics.,AE 4610 Dynamics and Control Laboratory Experiments in dynamics and control related to aerospace engineering topics.
AE 4698,Undergraduate,Undergraduate Research Assistantship,1,AHU;ATH;CAR;CHE;CHR;COS;CRA;DEC;DIL;FEI;GER;GOM;GRI;GUN;HO;JAG;JAM;KAR;LIE;LIG;MAV;MEN;OEF;PRA;QIA;RIS;ROG;ROM;SAN;SEI;SES;SMI;STE;SUN;THE;TSI;TSK;VAM;WAL;YAN;YMA,85489;93423;92160;87648;81612;82327;88038;88033;86272;82850;82851;92394;88024;86105;88018;83105;93424;92567;81613;86614;81621;92305;86970;82092;93425;91120;87649;92190;82722;81700;93428;84045;86997;84973;86072;82128;93429;87176;81861;83956;91036,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;,TBA;TBA;TBA;TBA;TBA;TBA;TBA;TBA;TBA;TBA;TBA;TBA;TBA;TBA;TBA;TBA;TBA;TBA;TBA;TBA;TBA;TBA;TBA;TBA;TBA;TBA;TBA;TBA;TBA;TBA;TBA;TBA;TBA;TBA;TBA;TBA;TBA;TBA;TBA;TBA;TBA,Krishan Ahuja (P);Christos Athanasiou (P);Christopher Carr (P);Yongxin Chen (P);John Christian (P);Mark Costello (P);James Craig (P);John Dec (P);Claudio Di Leo (P);Karen Feigh (P);Brian German (P);Matthew Gombolay (P);Kelly Griendling (P);Brian Gunter (P);Koki Ho (P);Jechiel Jagoda (P);Kai James (P);George Kardomateas (P);Tim Lieuwen (P);Edgar Lightsey (P);Dimitrios Mavris (P);Suresh Menon (P);Joseph Oefelein (P);J Prasad (P);Elizabeth Qian (P);Cristina Riso (P);Jonathan Rogers (P);Alvaro Romero Calvo (P);Narayanamoorthy Sankar (P);Jerry Seitzman (P);Pranay Seshadri (P);Marilyn Smith (P);Adam Steinberg (P);Wei Sun (P);Evangelos Theodorou (P);Panagiotis Tsiotras (P);Sedina Tsikata (P);Kyriakos Vamvoudakis (P);Mitchell Walker (P);Vigor Yang (P);Yi Mazumdar (P),Independent research conducted under the guidance of a faculty member.,AE 4698 Undergraduate Research Assistantship Independent research conducted under the guidance of a faculty member.
AE 4699,Undergraduate,Undergraduate Research,1,AHU;ATH;CAR;CHE;CHR;COS;CRA;DEC;DIL;FEI;FER;GER;GRI;GUN;HAD;HO;JAG;JAM;KAR;KEN;LIE;LIG;MAV;MAZ;MEN;OEF;PAT;PRA;QIA;R;RAU;RIS;ROG;ROM;RUF;SAN;SEI;SES;SMI;STE;SUN;THE;TSI;TSK;VAM;WAL;YAN;YEU;YMA,82473;93430;90887;87650;81578;82604;88086;88032;86271;82852;81968;82853;88025;84569;83688;88019;82887;93432;82101;85003;81996;85530;81568;89637;81699;86971;91031;82008;93433;84693;92594;83368;87651;92186;81689;81588;82082;93434;81692;86998;84931;84877;81672;93436;87177;81783;88264;81572;91035,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;,TBA;TBA;TBA;TBA;TBA;TBA;TBA;TBA;TBA;TBA;TBA;TBA;TBA;TBA;TBA;TBA;TBA;TBA;TBA;TBA;TBA;TBA;TBA;TBA;TBA;TBA;TBA;TBA;TBA;TBA;TBA;TBA;TBA;TBA;TBA;TBA;TBA;TBA;TBA;TBA;TBA;TBA;TBA;TBA;TBA;TBA;TBA;TBA;TBA,Krishan Ahuja (P);Christos Athanasiou (P);Christopher Carr (P);Yongxin Chen (P);John Christian (P);Mark Costello (P);James Craig (P);John Dec (P);Claudio Di Leo (P);Karen Feigh (P);Ari Glezer (P);Brian German (P);Kelly Griendling (P);Brian Gunter (P);Wassim Haddad (P);Koki Ho (P);Jechiel Jagoda (P);Kai James (P);George Kardomateas (P);Graeme Kennedy (P);Tim Lieuwen (P);Edgar Lightsey (P);Dimitrios Mavris (P);Anirban Mazumdar (P);Suresh Menon (P);Joseph Oefelein (P);Mayuresh Patil (P);J Prasad (P);Elizabeth Qian (P);Mackenzie Lau (P);Juergen Rauleder (P);Cristina Riso (P);Jonathan Rogers (P);Alvaro Romero Calvo (P);;Narayanamoorthy Sankar (P);Jerry Seitzman (P);Pranay Seshadri (P);Marilyn Smith (P);Adam Steinberg (P);Wenting Sun (P);Evangelos Theodorou (P);Panagiotis Tsiotras (P);Sedina Tsikata (P);Kyriakos Vamvoudakis (P);Mitchell Walker (P);Vigor Yang (P);Pui-Kuen Yeung (P);Yi Mazumdar (P),Independent research conducted under the guidance of a faculty member.,AE 4699 Undergraduate Research Independent research conducted under the guidance of a faculty member.
AE 4760,Undergraduate,Engineering Acoustics and Noise Control,3,A,91389,TR,College of Computing 52,Julien Meaud (P),"Study of acoustics related to noise and its control; acoustics terminology wave propagation, wave equation solutions, instrumentation, data processing, room acoustics, noise control, noise legislation. Crosslisted with ME 4760.","AE 4760 Engineering Acoustics and Noise Control Study of acoustics related to noise and its control; acoustics terminology wave propagation, wave equation solutions, instrumentation, data processing, room acoustics, noise control, noise legislation. Crosslisted with ME 4760."
AE 4791,Undergraduate,Mechanical Behavior of Composites,3,A,80007,TR,J. Erskine Love Manufacturing 184,Kyriaki Kalaitzidou (P),"Stress-strain behavior of composites, property of matrix and reinforcing materials, mechanics of fiber-reinforced composites, lamina and laminate analysis, and mechanical performance.  Crosslisted with CEE, CHE, ME, MSE, and PTFE 4791.","AE 4791 Mechanical Behavior of Composites Stress-strain behavior of composites, property of matrix and reinforcing materials, mechanics of fiber-reinforced composites, lamina and laminate analysis, and mechanical performance.  Crosslisted with CEE, CHE, ME, MSE, and PTFE 4791."
